regime,plugin_mean,plugin_lower,plugin_upper,plugin_width,reference_mean,reference_lower,reference_upper,reference_width,absolute_mean_difference,reference_to_plugin_width_ratio,convergence_mean_delta,convergence_lower_delta,convergence_upper_delta,convergence_pass
sparse,0.6488340192,0.3312054348,0.9043880159,0.5731825811,0.7368224805,0.2768983151,0.9995201225,0.7226218074,0.0879884613,1.2607183665,3.10545e-05,1.1006e-05,1.08832e-05,True
intermediate,0.623015873,0.3657230078,0.8470870216,0.4813640138,0.6331151523,0.3451025517,0.8782925729,0.5331900212,0.0100992793,1.1076648978,0.0,0.0,0.0,True
dense,0.6565335753,0.5007100115,0.7967500042,0.2960399927,0.6574739046,0.4992466953,0.799691645,0.3004449497,0.0009403292,1.014879601,0.0,0.0,0.0,True
